--- CLOSED SHELL ORBITALS --- GENERATED AT Thu Aug 20 14:34:58 2020
 Water H2O (GEOMETRY: MP2/cc-pVTZ)                                              
E(RHF)=        0.0000000000, E(NUC)=    9.1801505578,    1 ITERS
 $VEC   
15  1-0.00000000E+00-0.00000000E+00-0.00000000E+00-0.00000000E+00-0.00000000E+00
15  2-0.00000000E+00-0.00000000E+00-0.00000000E+00-0.00000000E+00-0.00000000E+00
15  3-0.00000000E+00-0.00000000E+00 1.00000000E+00-0.00000000E+00-0.00000000E+00
15  4-0.00000000E+00-0.00000000E+00-0.00000000E+00-0.00000000E+00
16  1-0.00000000E+00-0.00000000E+00 1.07207689E-02-0.00000000E+00-0.00000000E+00
16  2-0.00000000E+00 3.11851868E-02-0.00000000E+00-0.00000000E+00-0.00000000E+00
16  3-0.00000000E+00-0.00000000E+00-0.00000000E+00 9.99288348E-01-0.00000000E+00
16  4-0.00000000E+00-0.00000000E+00-0.00000000E+00-0.00000000E+00
17  1-5.79679469E-02-4.93067899E-01-0.00000000E+00-0.00000000E+00 5.00512822E-02
17  2 1.57862287E+00-0.00000000E+00-0.00000000E+00-7.51677533E-01-1.14096888E+00
17  3 7.32926928E-01 5.97435472E-02-0.00000000E+00-0.00000000E+00-0.00000000E+00
17  4-8.42796904E-01-1.43965914E-01-8.42796904E-01-1.43965914E-01
18  1-0.00000000E+00-0.00000000E+00-0.00000000E+00 1.79023873E-02-0.00000000E+00
18  2-0.00000000E+00-0.00000000E+00-8.49585782E-01-0.00000000E+00-0.00000000E+00
18  3-0.00000000E+00-0.00000000E+00-0.00000000E+00-0.00000000E+00 1.28291943E+00
18  4 9.47467311E-01-4.41228277E-02-9.47467311E-01 4.41228277E-02
19  1-4.65832651E-01 3.31625538E-01 0.00000000E+00 0.00000000E+00 1.16244453E-01
19  2 3.61172399E+00 0.00000000E+00 0.00000000E+00-3.20489584E-01-1.55982442E+00
19  3-1.52359388E+00-1.54096747E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
19  4 1.26197071E-01-5.41717437E-01 1.26197071E-01-5.41717437E-01
 $END   
